CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
108-94-1,C1(=O)CCCCC1,Inactive,
109-43-3,C(=O)(CCCCCCCCC(=O)OCCCC)OCCCC,Inactive,
109-86-4,C(O)COC,Inactive,
110-05-4,C(C)(C)(C)OOC(C)(C)C,Inactive,
110-26-9,C(=O)(C=C)NCNC(=O)C=C,Inactive,
110-62-3,C(=O)CCCC,Inactive,
110-80-5,C(O)COCC,Inactive,
110-85-0,C1CNCCN1,Inactive,
111-11-5,C(=O)(CCCCCCC)OC,Inactive,
111-14-8,C(=O)(O)CCCCCC,Inactive,
111-15-9,C(C)(=O)OCCOCC,Inactive,
111-21-7,C(C)(=O)OCCOCCOCCOC(C)=O,Inactive,
111-30-8,C(=O)CCCC=O,Inactive,
111-42-2,C(O)CNCCO,Inactive,
111-44-4,C(Cl)COCCCl,Inactive,
111-46-6,C(O)COCCO,Inactive,
111-69-3,C(#N)CCCCC#N,Inactive,
111-76-2,C(CCC)OCCO,Inactive,
111-77-3,C(O)COCCOC,Inactive,
111-82-0,C(=O)(CCCCCCCCCCC)OC,Inactive,
111-87-5,C(O)CCCCCCC,Inactive,
111-90-0,C(O)COCCOCC,Inactive,
111-96-6,C(COCCOC)OC,Inactive,
112-00-5,C(CCCCCCCCCCC)N{+}(C)(C)C,Inactive,
112-05-0,C(=O)(O)CCCCCCCC,Inactive,
112-25-4,C(CCCCC)OCCO,Inactive,
112-27-6,C(O)COCCOCCO,Inactive,
112-30-1,C(O)CCCCCCCCC,Inactive,
112-34-5,C(CCC)OCCOCCO,Inactive,
112-38-9,C(=O)(O)CCCCCCCCC=C,Inactive,
112-42-5,C(O)CCCCCCCCCC,Inactive,
112-49-2,C(COCCOCCOC)OC,Inactive,
112-50-5,C(O)COCCOCCOCC,Inactive,
112-53-8,C(O)CCCCCCCCCCC,Inactive,
112-70-9,C(O)CCCCCCCCCCCC,Inactive,
112-72-1,C(O)CCCCCCCCCCCCC,Inactive,
113-48-4,C1(=O)C2C(C(=O)N1CC(CCCC)CC)C1C=CC2C1,Inactive,
114-07-8,C1(C)(O)C(O)C(C)C(=O)C(C)CC(C)(O)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC1CC,Inactive,
114-26-1,c1(OC(C)C)c(OC(=O)NC)cccc1,Inactive,
115-28-6,C12(Cl)C(Cl)(Cl)C(Cl)(C(Cl)=C1Cl)C(C(=O)O)C2C(=O)O,Inactive,
